,0,1,2,3,4,5,6,7,8,9
198,5.0,5.0,5.0,1.0,5.0,1.0,5.0,29.0,5.0,15.0
199,15.0,0.0,15.0,1.0,15.0,6.0,15.0,14.0,15.0,0.0
200,5.0,5.0,5.0,1.0,5.0,6.0,5.0,19.0,5.0,8.0
201,5.0,0.0,5.0,1.0,5.0,10.0,5.0,14.0,5.0,27.0
202,0.0,15.0,0.0,1.0,0.0,15.0,0.0,14.0,0.0,8.0
203,5.0,9.0,5.0,0.0,5.0,14.0,5.0,14.0,5.0,8.0
204,5.0,0.0,5.0,1.0,5.0,14.0,5.0,0.0,5.0,8.0
205,5.0,5.0,5.0,1.0,5.0,10.0,5.0,14.0,5.0,12.0
206,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,8.0
207,0.0,0.0,0.0,1.0,0.0,14.0,0.0,0.0,0.0,8.0
208,10.0,6.0,10.0,1.0,10.0,15.0,10.0,4.0,10.0,12.0
209,1.0,5.0,1.0,1.0,1.0,14.0,1.0,0.0,1.0,7.0
210,5.0,5.0,5.0,1.0,5.0,20.0,5.0,14.0,5.0,11.0
